lon,lat,date,mgrs,scene,max_b12,avg_b12,max_b11,b12_b11_ratio,peakedness,pixels,warm_size,saturated,sun_elevation,sun_azimuth,glint_angle,glint_score
51.478324619320716,25.950504311884487,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.31290000677108765,0.30709999799728394,0.4684000015258789,0.6680187996408451,1.0188863849287781,3,18828,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.4663372230689,25.950001623784893,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3005000054836273,0.3005000054836273,0.3418000042438507,0.879169109867071,1,1,18888,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.46373759506698,25.949287592067197,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3659999966621399,0.3655499964952469,0.4717000126838684,0.7759168683920128,1.0012310222164067,2,18506,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.46493681938747,25.949464341985617,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.31520000100135803,0.29989999532699585,0.3506999909877777,0.8987739067616431,1.0510170253843447,2,18821,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.463338090004825,25.949288870726797,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3564000129699707,0.3564000129699707,0.4691999852657318,0.7595908443350083,1,1,18573,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.46673317014054,25.94909737452844,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3107999861240387,0.28859999775886536,0.3815000057220459,0.8146788504912422,1.076923037205711,3,18839,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.46093965268375,25.94893533430846,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.36500000953674316,0.3155333333545261,0.4235999882221222,0.8616619917027687,1.1567716337805662,9,18518,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.46593060765168,25.948196984747455,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.30790001153945923,0.3069000095129013,0.3806999921798706,0.8087733592439494,1.0032583968574815,2,18845,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.523439649124434,25.898517681012223,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,1.3416999578475952,0.3685250852241269,0.8967000246047974,1.496263991337485,3.6407289805838046,36675,15,1,73.7482538222865,96.7815477922789,16.2517461777135,1
51.5252249873561,25.940950933411624,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.3508000075817108,0.31094666918118796,0.4690000116825104,0.7479744111801535,1.1281677610680576,15,238,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.52562285740377,25.940588302349262,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.32749998569488525,0.2806374989449978,0.44359999895095825,0.7382776971807244,1.1669858337750938,8,57093,0,73.7482538222865,96.7815477922789,16.2517461777135,1
51.523218046418584,25.938791067720388,2026-06-07,39RWJ,S2B_MSIL2A_20260607T070619_N0512_R106_T39RWJ_20260607T110321,0.34380000829696655,0.32077500224113464,0.39309999346733093,0.8745866548215511,1.0717793029224996,4,56200,0,73.7482538222865,96.7815477922789,16.2517461777135,1
